# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.17853 -----------------
#dely    BF
0.050  0.2217  0.0001
0.150  0.2075  0.0001
0.250  0.1919  0.0001
0.350  0.1776  0.0001
0.450  0.1628  0.0001
0.550  0.1464  0.0001
0.650  0.1300  0.0001
0.750  0.1140  0.0001
0.850  0.0990  0.0001
0.950  0.0834  0.0001
1.050  0.0687  0.0001
1.150  0.0563  0.0001
1.250  0.0434  0.0001
1.350  0.0326  0.0000
1.450  0.0236  0.0000
1.550  0.0156  0.0000
1.650  0.0085  0.0000
1.750  0.0025  0.0000
