# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.309881 -----------------
#dely    BF
0.050  0.4030  0.0005
0.150  0.3775  0.0005
0.250  0.3550  0.0005
0.350  0.3168  0.0004
0.450  0.2920  0.0004
0.550  0.2607  0.0004
0.650  0.2297  0.0004
0.750  0.1985  0.0004
0.850  0.1684  0.0003
0.950  0.1382  0.0003
1.050  0.1093  0.0003
1.150  0.0862  0.0003
1.250  0.0642  0.0002
1.350  0.0462  0.0002
1.450  0.0299  0.0001
1.550  0.0170  0.0001
1.650  0.0059  0.0001
1.750  0.0004  0.0000
