# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.262829 -----------------
#dely    BF
0.050  0.2931  0.0002
0.150  0.2783  0.0002
0.250  0.2652  0.0002
0.350  0.2538  0.0002
0.450  0.2370  0.0002
0.550  0.2214  0.0002
0.650  0.2046  0.0002
0.750  0.1829  0.0002
0.850  0.1604  0.0002
0.950  0.1367  0.0002
1.050  0.1141  0.0001
1.150  0.0925  0.0001
1.250  0.0717  0.0001
1.350  0.0526  0.0001
1.450  0.0354  0.0001
1.550  0.0205  0.0001
1.650  0.0072  0.0000
1.750  0.0007  0.0000
