# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.129394 -----------------
#dely    BF
0.050  0.1378  0.0002
0.150  0.1321  0.0002
0.250  0.1248  0.0002
0.350  0.1212  0.0002
0.450  0.1147  0.0002
0.550  0.1071  0.0002
0.650  0.0998  0.0002
0.750  0.0882  0.0002
0.850  0.0804  0.0002
0.950  0.0702  0.0002
1.050  0.0594  0.0001
1.150  0.0496  0.0001
1.250  0.0397  0.0001
1.350  0.0300  0.0001
1.450  0.0220  0.0001
1.550  0.0120  0.0001
1.650  0.0045  0.0000
1.750  0.0004  0.0000
