# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0995012 -----------------
#dely    BF
0.050  0.1607  0.0012
0.150  0.1546  0.0012
0.250  0.1416  0.0011
0.350  0.1233  0.0010
0.450  0.1042  0.0009
0.550  0.0867  0.0008
0.650  0.0685  0.0007
0.750  0.0541  0.0006
0.850  0.0383  0.0005
0.950  0.0254  0.0004
1.050  0.0186  0.0003
1.150  0.0104  0.0002
1.250  0.0052  0.0001
1.350  0.0025  0.0001
1.450  0.0008  0.0000
1.550  0.0001  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
