# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.192331 -----------------
#dely    BF
0.050  0.2247  0.0001
0.150  0.2123  0.0001
0.250  0.2049  0.0001
0.350  0.1955  0.0001
0.450  0.1872  0.0001
0.550  0.1717  0.0001
0.650  0.1569  0.0001
0.750  0.1362  0.0001
0.850  0.1163  0.0001
0.950  0.0944  0.0001
1.050  0.0749  0.0001
1.150  0.0562  0.0001
1.250  0.0398  0.0001
1.350  0.0260  0.0001
1.450  0.0159  0.0000
1.550  0.0080  0.0000
1.650  0.0024  0.0000
1.750  0.0002  0.0000
