# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.137563 -----------------
#dely    BF
0.050  0.3677  0.0032
0.150  0.3259  0.0029
0.250  0.2427  0.0023
0.350  0.1625  0.0017
0.450  0.1064  0.0013
0.550  0.0659  0.0009
0.650  0.0393  0.0006
0.750  0.0253  0.0005
0.850  0.0169  0.0004
0.950  0.0110  0.0003
1.050  0.0061  0.0002
1.150  0.0033  0.0002
1.250  0.0020  0.0001
1.350  0.0006  0.0001
1.450  0.0002  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
