# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0705 -----------------
#dely    BF
0.050  0.1140  0.0008
0.150  0.1053  0.0008
0.250  0.0985  0.0008
0.350  0.0845  0.0007
0.450  0.0717  0.0006
0.550  0.0579  0.0006
0.650  0.0480  0.0005
0.750  0.0366  0.0004
0.850  0.0291  0.0004
0.950  0.0224  0.0003
1.050  0.0159  0.0003
1.150  0.0100  0.0002
1.250  0.0062  0.0002
1.350  0.0032  0.0001
1.450  0.0012  0.0001
1.550  0.0004  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
