# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0120089 -----------------
#dely    BF
0.050  0.0173  0.0003
0.150  0.0132  0.0002
0.250  0.0144  0.0003
0.350  0.0164  0.0003
0.450  0.0133  0.0003
0.550  0.0129  0.0003
0.650  0.0092  0.0002
0.750  0.0070  0.0002
0.850  0.0083  0.0003
0.950  0.0032  0.0001
1.050  0.0022  0.0001
1.150  0.0009  0.0000
1.250  0.0010  0.0001
1.350  0.0005  0.0000
1.450  0.0002  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
