# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.126915 -----------------
#dely    BF
0.050  0.1179  0.0001
0.150  0.1148  0.0001
0.250  0.1151  0.0001
0.350  0.1128  0.0001
0.450  0.1154  0.0001
0.550  0.1131  0.0001
0.650  0.1081  0.0001
0.750  0.0989  0.0001
0.850  0.0879  0.0001
0.950  0.0764  0.0001
1.050  0.0629  0.0001
1.150  0.0504  0.0001
1.250  0.0383  0.0001
1.350  0.0272  0.0001
1.450  0.0173  0.0000
1.550  0.0095  0.0000
1.650  0.0031  0.0000
1.750  0.0002  0.0000
