# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.25852 -----------------
#dely    BF
0.050  0.4814  0.0006
0.150  0.4420  0.0005
0.250  0.3915  0.0005
0.350  0.3328  0.0004
0.450  0.2706  0.0004
0.550  0.2149  0.0003
0.650  0.1600  0.0003
0.750  0.1161  0.0002
0.850  0.0802  0.0002
0.950  0.0510  0.0001
1.050  0.0315  0.0001
1.150  0.0143  0.0000
1.250  0.0055  0.0000
1.350 -0.0006 -0.0000
1.450 -0.0025 -0.0000
1.550 -0.0025 -0.0000
1.650 -0.0011 -0.0000
1.750 -0.0002 -0.0000
