# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.25
# ------- normalization=0.00661708 -----------------
#dely    BF
0.050  0.0021  0.0004
0.150  0.0216  0.0035
0.250  0.0031  0.0005
0.350  0.0117  0.0027
0.450 -0.0031 -0.0005
0.550  0.0167  0.0032
0.650  0.0081  0.0018
0.750  0.0007  0.0002
0.850  0.0023  0.0010
0.950  0.0075  0.0021
1.050  0.0013  0.0007
1.150  0.0000  0.0000
1.250 -0.0006 -0.0004
1.350 -0.0046 -0.0027
1.450  0.0000  0.0000
1.550 -0.0006 -0.0006
1.650  0.0000  0.0000
1.750  0.0000  0.0000
