# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=500000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.222063 -----------------
#dely    BF
0.050  0.2751  0.0010
0.150  0.2707  0.0010
0.250  0.2575  0.0010
0.350  0.2298  0.0010
0.450  0.2138  0.0009
0.550  0.1961  0.0009
0.650  0.1652  0.0008
0.750  0.1424  0.0008
0.850  0.1204  0.0007
0.950  0.1016  0.0007
1.050  0.0758  0.0006
1.150  0.0579  0.0005
1.250  0.0437  0.0004
1.350  0.0322  0.0004
1.450  0.0215  0.0003
1.550  0.0123  0.0002
1.650  0.0043  0.0001
1.750  0.0000  0.0000
