# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=8.57607 -----------------
#dely    BF
0.050 10.0548  2.9484
0.150 -59.6366 -36.5206
0.250 42.2058 16.6833
0.350  0.5121  0.2016
0.450 37.0016 19.9578
0.550 34.4758 31.2672
0.650  9.8494  6.4022
0.750  9.5702  7.5494
0.850  0.9299  0.2849
0.950  0.0476  0.0476
1.050  0.6990  0.3235
1.150  0.0000  0.0000
1.250  0.0000  0.0000
1.350  0.0509  0.0509
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
