# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.148556 -----------------
#dely    BF
0.050  0.1968  0.0001
0.150  0.1849  0.0001
0.250  0.1713  0.0001
0.350  0.1573  0.0001
0.450  0.1433  0.0001
0.550  0.1274  0.0001
0.650  0.1111  0.0001
0.750  0.0951  0.0001
0.850  0.0790  0.0001
0.950  0.0632  0.0001
1.050  0.0501  0.0001
1.150  0.0377  0.0001
1.250  0.0273  0.0000
1.350  0.0193  0.0000
1.450  0.0125  0.0000
1.550  0.0067  0.0000
1.650  0.0022  0.0000
1.750  0.0001  0.0000
