# ICODE=2212, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0844016 -----------------
#dely    BF
0.050  0.1274  0.0012
0.150  0.1220  0.0012
0.250  0.1143  0.0012
0.350  0.1014  0.0011
0.450  0.0916  0.0011
0.550  0.0746  0.0010
0.650  0.0662  0.0010
0.750  0.0496  0.0009
0.850  0.0403  0.0008
0.950  0.0276  0.0007
1.050  0.0153  0.0005
1.150  0.0089  0.0004
1.250  0.0034  0.0002
1.350  0.0012  0.0001
1.450  0.0003  0.0001
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
