# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.25
# ------- normalization=0.0200802 -----------------
#dely    BF
0.050  0.0382  0.0007
0.150  0.0406  0.0007
0.250  0.0212  0.0004
0.350  0.0244  0.0005
0.450  0.0261  0.0005
0.550  0.0157  0.0004
0.650  0.0119  0.0003
0.750  0.0049  0.0001
0.850  0.0087  0.0003
0.950  0.0012  0.0000
1.050  0.0030  0.0001
1.150  0.0018  0.0001
1.250  0.0017  0.0001
1.350  0.0017  0.0001
1.450 -0.0003 -0.0000
1.550 -0.0000 -0.0000
1.650 -0.0000 -0.0000
1.750  0.0000  0.0000
