# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0129756 -----------------
#dely    BF
0.050  0.0205  0.0004
0.150  0.0227  0.0004
0.250  0.0147  0.0003
0.350  0.0164  0.0003
0.450  0.0105  0.0002
0.550  0.0114  0.0003
0.650  0.0088  0.0002
0.750  0.0099  0.0003
0.850  0.0056  0.0002
0.950  0.0032  0.0001
1.050  0.0027  0.0001
1.150  0.0010  0.0001
1.250  0.0011  0.0001
1.350  0.0010  0.0001
1.450 -0.0000 -0.0000
1.550  0.0003  0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
